id,Title,Year,Runtime,Rating,Language,Country
267,To Walk with Lions,1999,108 min,6.9,English,"Canada, UK, Kenya"
268,BlackMale,2000,90 min,4.6,English,USA
269,Boys Will Be Boys,1999,90 min,3.9,English,USA
270,No One Writes to the Colonel,1999,118 min,6.6,Spanish,"Mexico, France, Spain"
271,The Craic,1999,86 min,5.5,English,Australia
272,The Crow: Salvation,2000,102 min,4.9,English,"Germany, USA"
273,Freestyle: The Victories of Dan Gable,1999,,9.3,English,"Canada, USA"
274,Teaching Mrs. Tingle,1999,96 min,5.3,English,USA
275,Lightmaker,2001,89 min,7.1,English,"Switzerland, Poland"
276,The Matrix,1999,136 min,8.7,English,USA
277,Perpetrators of the Crime,1999,86 min,5.1,English,Canada
278,Planet of the Apes,2001,119 min,5.7,English,USA
279,Treasure Planet,2002,95 min,7.2,English,USA
280,24 Nights,1999,97 min,6.4,English,USA
281,Asterix and Obelix vs. Caesar,1999,109 min,6.0,"French, German","France, Italy, Germany"
282,Best Laid Plans,1999,92 min,6.1,"English, Spanish",USA
283,Fallen Arches,2000,100 min,6.8,English,USA
284,Nag la bombe,1999,93 min,5.2,French,France
285,Plunkett & Macleane,1999,99 min,6.4,English,UK
286,Scream 3,2000,116 min,5.6,English,USA
287,The Talented Mr. Ripley,1999,139 min,7.4,"English, Italian",USA
288,Ride with the Devil,1999,138 min,6.7,"English, German",USA
289,8MM,1999,123 min,6.5,English,"Germany, USA"
290,Balloon Farm,1999,92 min,5.5,English,USA
291,"Mystery, Alaska",1999,119 min,6.7,English,"Canada, USA"
292,Duets,2000,112 min,6.1,English,USA
293,Existo,1999,94 min,5.5,,USA
294,Gut Feeling,1999,,7.5,English,USA
295,Pitch Black,2000,109 min,7.1,"English, Arabic","USA, Australia"
296,Soccer Dog: The Movie,1999,98 min,2.9,English,USA
297,Supernova,2000,90 min,4.9,English,"USA, Switzerland"
298,Black Light,1999,90 min,4.3,English,Canada
299,Implicated,1999,91 min,4.0,English,USA
300,Jewish Vendetta,1999,84 min,6.3,Hebrew,"Israel, Russia"
301,Wind River,2000,97 min,6.5,"English, Shoshoni",USA
302,Bang Boom Bang - Ein todsicheres Ding,1999,110 min,7.6,German,Germany
303,Night Shapes,1999,101 min,7.3,German,Germany
304,Das Phantom,2000,95 min,7.2,German,Germany
305,Simon Says,2000,91 min,4.8,,USA
306,American Intellectuals,1999,100 min,6.4,English,USA
307,Lola and Billy the Kid,1999,93 min,6.6,"Turkish, German",Germany
308,Loofa,1999,66 min,5.3,,USA
309,Mothman,2000,,7.4,English,USA
310,A Packing Suburbia,1999,90 min,3.3,English,USA
311,Road Kill,1999,92 min,5.7,English,USA
312,Siestas & Olas: A Surfing Journey Through Mexico,2000,87 min,8.4,English,USA
313,The Lake,1999,91 min,4.6,Swedish,Sweden
314,Unto Thee,1999,98 min,7.7,English,USA
315,200 Cigarettes,1999,101 min,6.0,English,USA
316,Arlington Road,1999,117 min,7.2,English,USA
317,Blood Kiss,1999,,4.1,English,USA
318,Entrapment,1999,113 min,6.3,English,"USA, UK, Germany"
319,Fight Club,1999,139 min,8.8,English,"USA, Germany, Italy"
320,The Girl from China,2000,73 min,,English,Canada
321,Guts,1999,90 min,5.2,,Netherlands
322,Mary and Rhoda,2000,86 min,5.3,English,USA
323,The 24 Hour Woman,1999,93 min,5.3,English,USA
324,Age to Age,1999,76 min,5.7,English,USA
325,All Saints Day,2000,82 min,6.4,English,USA
326,The Astronaut's Wife,1999,109 min,5.4,English,USA
327,Cement,2000,97 min,6.3,English,USA
328,Chillicothe,1999,92 min,6.7,English,"USA, Canada"
